,epoch,loss,val_loss,test_acc,sparcity
0,1,0.45015978813171387,0.5164914741402581,0.7641434314705077,0.5992794036865234
1,2,0.3204990029335022,0.49108633469967616,0.7840042823836917,0.5992794036865234
2,3,0.47336018085479736,0.4737709796144849,0.7858644014313108,0.5992794036865234
3,4,0.4548876881599426,0.459687386240278,0.7959090442884535,0.5992794036865234
4,5,0.1436276137828827,0.4483373888901302,0.8040478797185988,0.5992794036865234
5,6,0.40414804220199585,0.4387340822390148,0.8107443082900274,0.5992794036865234
6,7,0.5536974668502808,0.43082547684510547,0.809628236861456,0.5992794036865234
7,8,0.16688509285449982,0.4227170887447539,0.8183153200717199,0.5992794036865234
8,9,0.21650800108909607,0.4158711177962167,0.8261343467803228,0.5992794036865234
9,10,0.08833719789981842,0.409261303288596,0.8349715442884535,0.5992794036865234
10,11,0.39772796630859375,0.40344697662762236,0.8388288432643527,0.5992794036865234
11,12,0.09443779289722443,0.3979653850907371,0.8433845028990791,0.5992794036865234
12,13,0.2457040548324585,0.3928481014001937,0.846824091105234,0.5992794036865234
13,14,0.1811419427394867,0.387641724731241,0.8502179923511687,0.5992794036865234
14,15,0.2644513249397278,0.3834396231742132,0.8531028089069185,0.5992794036865234
15,16,0.8216702342033386,0.3804081408750443,0.8590095028990791,0.5992794036865234
16,17,0.05683400109410286,0.37505502431165605,0.8595185875892639,0.5992794036865234
17,18,0.5420175194740295,0.37277625501155853,0.8621292823836917,0.5992794036865234
18,19,0.28621941804885864,0.36752321748506456,0.8650075708116803,0.5992794036865234
19,20,0.17654377222061157,0.36401338165714625,0.8676574244385674,0.5992794036865234
20,21,0.5866838097572327,0.36138662199179333,0.8680751352083116,0.5992794036865234
21,22,0.2350788414478302,0.3576045213710694,0.8713319755735851,0.5992794036865234
22,23,0.40779632329940796,0.35502663538569496,0.8708228908834004,0.5992794036865234
23,24,0.09491768479347229,0.3516992798873356,0.8739818292004722,0.5992794036865234
24,25,0.1777629256248474,0.34912925568364916,0.8749151527881622,0.5992794036865234
25,26,0.710664689540863,0.3469348844318163,0.8768209587960016,0.5992794036865234
26,27,0.7487924098968506,0.34460632219201043,0.8776563803354899,0.5992794036865234
27,28,0.27212122082710266,0.34114905695120495,0.8789160407724834,0.5992794036865234
28,29,0.27347084879875183,0.33909318560645696,0.8801234861214956,0.5992794036865234
29,30,0.31645533442497253,0.3362207852658771,0.8803519209225973,0.5992794036865234
