,epoch,loss,val_loss,test_acc,sparcity
0,1,2.562274932861328,0.7785595740590777,0.6329691410064697,0.0
1,2,1.1130763292312622,0.7181748946507772,0.6591935569331759,0.0
2,3,0.56825190782547,0.6691676278909048,0.6767700499012357,0.0
3,4,0.2110176682472229,0.6306774360792977,0.6934197474093664,0.0
4,5,0.7435852289199829,0.6002245658919925,0.7084899743398031,0.0
5,6,0.3429737687110901,0.5720081095184598,0.7230445912906102,0.0
6,7,0.2548285722732544,0.5484675552163806,0.7353213770048959,0.0
7,8,0.6352331638336182,0.5270111042828787,0.7493603797185988,0.0
8,9,0.6383546590805054,0.5063917956181935,0.7597770463852656,0.0
9,10,0.31685900688171387,0.4883227078687577,0.7681443194548289,0.0
10,11,0.2063993513584137,0.47238245819296154,0.7767008670738765,0.0
11,12,0.5678398609161377,0.45764595128241037,0.7954913320995513,0.0
12,13,0.6616300344467163,0.4433548691726866,0.8070697585741679,0.0
13,14,0.3670717775821686,0.42958552425815943,0.8160374902543568,0.0
14,15,0.38436242938041687,0.4181267079852876,0.8300438594250452,0.0
15,16,0.4948177635669708,0.4074721343460537,0.8289669482480913,0.0
16,17,0.2219967097043991,0.3979584077994029,0.8429211051691146,0.0
17,18,0.5665847659111023,0.38925660295145853,0.8486842101528531,0.0
18,19,0.3509632349014282,0.3826623736392884,0.8515233397483826,0.0
19,20,0.13634204864501953,0.3751499741559937,0.861241645756222,0.0
20,21,0.6027508974075317,0.37078983585039776,0.8640350883915311,0.0
21,22,0.4191795587539673,0.3632023845400129,0.8660779552800315,0.0
22,23,0.09871412813663483,0.3576378368196033,0.8706336149147579,0.0
23,24,0.11641687154769897,0.3532666712999344,0.8705422409943172,0.0
24,25,0.22342011332511902,0.3482046372124127,0.873427057550067,0.0
25,26,0.08283953368663788,0.3438807122764133,0.8743081660497756,0.0
26,27,0.15125565230846405,0.33936139728341785,0.876213972057615,0.0
27,28,0.18130020797252655,0.3355726950934955,0.8769123327164423,0.0
28,29,0.14594732224941254,0.33127855474040624,0.8824926898592994,0.0
29,30,0.15306434035301208,0.32749761995815097,0.8825383768195197,0.0
